,date,open,close,high,low,volume,amount,amplitude,flucrange,flucamount,turnoverrate,Date,SMA,SD,Upper_band,RSI,M12
111,2010-06-22,2772.89,2783.72,2795.32,2766.44,39096052,45207207792.0,1.04,0.11,3.06,0.13,2010-06-22,2771.26,50.98964146611217,2873.2392829322243,42.99983177727308,0.01441606903387549
112,2010-06-23,2768.7,2758.5,2788.22,2734.05,35600350,41600240721.0,1.95,-0.91,-25.22,0.12,2010-06-23,2770.7455,51.067730925141625,2872.8809618502833,48.25836597913813,0.00035176407872250515
113,2010-06-24,2753.71,2757.5,2783.51,2739.81,29220682,33772857040.0,1.58,-0.04,-1.0,0.1,2010-06-24,2764.947,45.01521264499662,2854.9774252899933,51.685876048933395,0.00782871845852462
114,2010-06-25,2744.12,2736.29,2759.45,2715.66,30671782,34649179151.0,1.59,-0.77,-21.21,0.1,2010-06-25,2761.0644999999995,43.902074938981634,2848.868649877963,47.36789927629619,-0.0029514755555879457
115,2010-06-28,2734.51,2716.78,2751.46,2710.09,27710044,31198277084.0,1.51,-0.71,-19.51,0.09,2010-06-28,2756.2065000000002,43.11169499104161,2842.4298899820833,47.59675250286401,0.007812384075497558
116,2010-06-29,2717.47,2592.02,2724.23,2591.69,48758552,50635969685.0,4.88,-4.59,-124.76,0.16,2010-06-29,2742.8085,50.216314215817185,2843.2411284316345,35.29218710785922,-0.039757866737795244
117,2010-06-30,2572.91,2563.07,2575.82,2546.84,35698794,35809892277.0,1.12,-1.12,-28.95,0.12,2010-06-30,2728.447,58.28168359921111,2845.0103671984225,36.68894374535897,-0.07873823293663484
118,2010-07-01,2557.92,2526.07,2574.1,2524.57,32857646,32478457404.0,1.93,-1.44,-37.0,0.11,2010-07-01,2716.0875,72.703955794431,2861.495411588862,33.704504843411996,-0.08143577137620805
119,2010-07-02,2523.03,2534.1,2542.12,2462.2,44914100,43367318435.0,3.16,0.32,8.03,0.15,2010-07-02,2705.5845,82.89389644695561,2871.372292893911,22.856705115016652,-0.08147176198951023
120,2010-07-05,2507.35,2512.65,2529.43,2476.49,32178574,30922298985.0,2.09,-0.85,-21.45,0.11,2010-07-05,2693.3405,92.36188519394605,2878.064270387892,23.402729534096693,-0.08388722185559638
121,2010-07-06,2504.87,2562.9,2563.41,2502.93,39714762,38976836519.0,2.41,2.0,50.25,0.13,2010-07-06,2684.6814999999997,96.18297596796101,2877.047451935922,29.90587125484484,-0.049429375744111104
122,2010-07-07,2561.11,2580.48,2580.61,2548.56,35720909,37059898462.0,1.25,0.69,17.58,0.12,2010-07-07,2676.486,97.79722729898413,2872.080454597968,33.41239495368757,-0.07199010306905551
123,2010-07-08,2591.51,2575.92,2602.23,2564.64,34056966,35348760455.0,1.46,-0.18,-4.56,0.11,2010-07-08,2670.496,100.19655085985387,2870.889101719708,36.55132305902875,-0.07464831233026303
124,2010-07-09,2578.55,2647.1,2662.16,2557.26,58493045,61470066938.0,4.07,2.76,71.18,0.19,2010-07-09,2667.884,100.08590333466823,2868.0558066693366,34.604389524160794,-0.040384266811673064
125,2010-07-12,2647.42,2676.22,2689.81,2636.65,58462491,63462262470.0,2.01,1.1,29.12,0.19,2010-07-12,2662.5885000000003,96.45917239815826,2855.5068447963167,38.31064329520244,-0.029475974614687317
126,2010-07-13,2649.66,2634.59,2649.66,2618.34,43228506,45125109071.0,1.17,-1.56,-41.63,0.14,2010-07-13,2656.817,94.38345958460452,2845.583919169209,36.990529786027736,-0.037167113134938146
127,2010-07-14,2640.93,2653.61,2684.62,2640.54,46688860,49497106670.0,1.67,0.72,19.02,0.15,2010-07-14,2651.554,91.27690607792687,2834.107812155854,39.49013657056144,-0.023251790722841004
